date,CPI,Unemployment rate,Employment rate,Mortage,Rent
10-Jul,116.6,8.3,62.7,5.02,110.8
10-Aug,116.5,8.8,62.5,4.82,111
10-Sep,116.7,7.5,61.7,4.6,111.1
10-Oct,117.4,7.2,61.7,4.52,111.3
10-Nov,117.7,7.1,61.5,4.45,111.4
10-Dec,118.2,7.1,61.3,4.5,111.5
11-Jan,118.4,8.2,60.5,4.55,111.5
11-Feb,118.3,8,60.6,4.68,111.6
11-Mar,119.1,8.3,60.6,4.7,111.7
11-Apr,119.6,8,61.1,4.87,111.8
11-May,120,7.6,62.4,4.83,111.9
11-Jun,119.6,7.1,63.1,4.6,111.9
11-Jul,119.8,7.6,62.8,4.57,112
11-Aug,120.1,7.9,62.7,4.52,112.2
11-Sep,120.5,6.8,62,4.42,112.3
11-Oct,120.9,6.8,61.8,4.35,112.5
11-Nov,121,7.1,61.5,4.38,112.6
11-Dec,120.8,6.9,61.2,4.36,112.7
12-Jan,121.5,8,60.2,4.31,112.8
12-Feb,121.4,7.8,60.3,4.23,113
12-Mar,121.5,7.8,60.5,4.21,113.1
12-Apr,121.9,7.5,61.3,4.36,113.2
12-May,121.5,7.5,62.4,4.35,113.3
12-Jun,121.2,6.8,63,4.25,113.4
12-Jul,121.2,7.5,62.5,4.23,113.5
12-Aug,121.7,7.7,62.6,4.23,113.8
12-Sep,121.9,6.6,62,4.2,114
12-Oct,122.2,6.8,61.9,4.17,114.2
12-Nov,122.1,6.8,61.7,4.15,114.3
12-Dec,122,6.7,61.5,4.15,114.5
13-Jan,122.1,7.5,60.7,4.14,114.6
13-Feb,122.9,7.4,60.9,4.11,114.8
13-Mar,122.8,7.8,60.7,4.02,114.9
13-Apr,122.3,7.4,61.1,4.02,115
13-May,122.3,7.2,62.5,4.02,115.1
13-Jun,122.6,6.7,63,4,115.3
13-Jul,122.8,7.4,62.7,4.08,115.4
13-Aug,122.9,7.6,62.7,4.14,115.7
13-Sep,123.1,6.4,62.1,4.33,115.8
13-Oct,123,6.4,61.9,4.4,116
13-Nov,123.2,6.5,61.7,4.39,116.2
13-Dec,123.6,6.7,61.3,4.39,116.3
14-Jan,123.9,7.4,60.4,4.38,116.4
14-Feb,124.3,7.4,60.5,4.32,116.5
14-Mar,124.5,7.4,60.6,4.16,116.6
14-Apr,125,7.3,60.8,4.02,116.7
14-May,125.1,7.2,61.9,4.02,116.8
14-Jun,125.4,6.7,62.6,4,117
14-Jul,125.4,7.3,62.3,4.01,117.1
